Age,Time_of_survey,Schooling,Region,Count,target
0,1991,1,1,1.0,1
0,1991,0,1,5.0,1
0,1991,3,1,10.0,1
0,1991,4,1,3.0,1
0,1991,2,1,8.0,1
0,1991,1,0,0.0,1
0,1991,0,0,0.0,1
0,1991,3,0,2.0,1
0,1991,4,0,0.0,1
0,1991,2,0,2.0,1
0,1991,1,1,3.0,0
0,1991,0,1,63.0,0
0,1991,3,1,88.0,0
0,1991,4,1,22.0,0
0,1991,2,1,78.0,0
0,1991,1,0,2.0,0
0,1991,0,0,13.0,0
0,1991,3,0,103.0,0
0,1991,4,0,6.0,0
0,1991,2,0,29.0,0
0,1991,1,1,1.0,3
0,1991,0,1,25.0,3
0,1991,3,1,18.0,3
0,1991,4,1,5.0,3
0,1991,2,1,9.0,3
0,1991,1,0,1.0,3
0,1991,0,0,5.0,3
0,1991,3,0,53.0,3
0,1991,4,0,1.0,3
0,1991,2,0,12.0,3
0,1991,1,1,2.0,2
0,1991,0,1,2.0,2
0,1991,3,1,0.0,2
0,1991,4,1,0.0,2
0,1991,2,1,1.0,2
0,1991,1,0,0.0,2
0,1991,0,0,0.0,2
0,1991,3,0,4.0,2
0,1991,4,0,0.0,2
0,1991,2,0,3.0,2
1,1991,1,1,0.0,1
1,1991,0,1,24.0,1
1,1991,3,1,17.0,1
1,1991,4,1,3.0,1
1,1991,2,1,11.0,1
1,1991,1,0,0.0,1
1,1991,0,0,3.0,1
1,1991,3,0,7.0,1
1,1991,4,0,0.0,1
1,1991,2,0,1.0,1
1,1991,1,1,1.0,0
1,1991,0,1,135.0,0
1,1991,3,1,89.0,0
1,1991,4,1,26.0,0
1,1991,2,1,68.0,0
1,1991,1,0,3.0,0
1,1991,0,0,39.0,0
1,1991,3,0,198.0,0
1,1991,4,0,7.0,0
1,1991,2,0,52.0,0
1,1991,1,1,1.0,3
1,1991,0,1,34.0,3
1,1991,3,1,14.0,3
1,1991,4,1,1.0,3
1,1991,2,1,10.0,3
1,1991,1,0,4.0,3
1,1991,0,0,27.0,3
1,1991,3,0,86.0,3
1,1991,4,0,7.0,3
1,1991,2,0,17.0,3
1,1991,1,1,0.0,2
1,1991,0,1,2.0,2
1,1991,3,1,1.0,2
1,1991,4,1,0.0,2
1,1991,2,1,1.0,2
1,1991,1,0,1.0,2
1,1991,0,0,7.0,2
1,1991,3,0,9.0,2
1,1991,4,0,0.0,2
1,1991,2,0,1.0,2
2,1991,1,1,0.0,1
2,1991,0,1,26.0,1
2,1991,3,1,4.0,1
2,1991,4,1,2.0,1
2,1991,2,1,5.0,1
2,1991,1,0,0.0,1
2,1991,0,0,4.0,1
2,1991,3,0,0.0,1
2,1991,4,0,0.0,1
2,1991,2,0,2.0,1
2,1991,1,1,2.0,0
2,1991,0,1,120.0,0
2,1991,3,1,62.0,0
2,1991,4,1,17.0,0
2,1991,2,1,29.0,0
2,1991,1,0,14.0,0
2,1991,0,0,134.0,0
2,1991,3,0,50.0,0
2,1991,4,0,5.0,0
2,1991,2,0,32.0,0
2,1991,1,1,1.0,3
2,1991,0,1,27.0,3
2,1991,3,1,10.0,3
2,1991,4,1,2.0,3
2,1991,2,1,3.0,3
2,1991,1,0,13.0,3
2,1991,0,0,61.0,3
2,1991,3,0,18.0,3
2,1991,4,0,3.0,3
2,1991,2,0,18.0,3
2,1991,1,1,0.0,2
2,1991,0,1,6.0,2
2,1991,3,1,2.0,2
2,1991,4,1,0.0,2
2,1991,2,1,0.0,2
2,1991,1,0,1.0,2
2,1991,0,0,7.0,2
2,1991,3,0,3.0,2
2,1991,4,0,0.0,2
2,1991,2,0,2.0,2
3,1991,1,1,2.0,1
3,1991,0,1,41.0,1
3,1991,3,1,12.0,1
3,1991,4,1,1.0,1
3,1991,2,1,7.0,1
3,1991,1,0,0.0,1
3,1991,0,0,4.0,1
3,1991,3,0,1.0,1
3,1991,4,0,0.0,1
3,1991,2,0,0.0,1
3,1991,1,1,6.0,0
3,1991,0,1,107.0,0
3,1991,3,1,32.0,0
3,1991,4,1,4.0,0
3,1991,2,1,26.0,0
3,1991,1,0,7.0,0
3,1991,0,0,81.0,0
3,1991,3,0,15.0,0
3,1991,4,0,1.0,0
3,1991,2,0,12.0,0
3,1991,1,1,1.0,3
3,1991,0,1,18.0,3
3,1991,3,1,3.0,3
3,1991,4,1,0.0,3
3,1991,2,1,2.0,3
3,1991,1,0,6.0,3
3,1991,0,0,56.0,3
3,1991,3,0,8.0,3
3,1991,4,0,1.0,3
3,1991,2,0,7.0,3
3,1991,1,1,1.0,2
3,1991,0,1,3.0,2
3,1991,3,1,0.0,2
3,1991,4,1,0.0,2
3,1991,2,1,0.0,2
3,1991,1,0,1.0,2
3,1991,0,0,5.0,2
3,1991,3,0,0.0,2
3,1991,4,0,0.0,2
3,1991,2,0,0.0,2
4,1991,1,1,1.0,1
4,1991,0,1,8.0,1
4,1991,3,1,3.0,1
4,1991,4,1,1.0,1
4,1991,2,1,2.0,1
4,1991,1,0,0.0,1
4,1991,0,0,3.0,1
4,1991,3,0,0.0,1
4,1991,4,0,0.0,1
4,1991,2,0,0.0,1
4,1991,1,1,1.0,0
4,1991,0,1,28.0,0
4,1991,3,1,8.0,0
4,1991,4,1,3.0,0
4,1991,2,1,6.0,0
4,1991,1,0,5.0,0
4,1991,0,0,16.0,0
4,1991,3,0,1.0,0
4,1991,4,0,1.0,0
4,1991,2,0,3.0,0
4,1991,1,1,0.0,3
4,1991,0,1,9.0,3
4,1991,3,1,2.0,3
4,1991,4,1,0.0,3
4,1991,2,1,0.0,3
4,1991,1,0,0.0,3
4,1991,0,0,10.0,3
4,1991,3,0,1.0,3
4,1991,4,0,0.0,3
4,1991,2,0,1.0,3
4,1991,1,1,1.0,2
4,1991,0,1,0.0,2
4,1991,3,1,0.0,2
4,1991,4,1,0.0,2
4,1991,2,1,0.0,2
4,1991,1,0,0.0,2
4,1991,0,0,1.0,2
