dataset	status	csv_file	n_rows_raw	n_rows_encoded	n_columns_encoded	n_features	n_classes	readme_saved	metadata_yaml_saved	seconds	n_instances	n_binary_features	n_categorical_features	n_continuous_features	endpoint_type	imbalance	task
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1	ok	GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.csv	1600	1600	1001	1000	2	True	True	3.04	1600	31	969	0	categorical	0.0	classification
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1	ok	GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.csv	1600	1600	21	20	2	True	True	3.0	1600	0	20	0	categorical	0.0	classification
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1	ok	GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.csv	1600	1600	21	20	2	True	True	2.29	1600	2	18	0	categorical	0.0	classification
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1	ok	GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.csv	1600	1600	21	20	2	True	True	1.98	1600	0	20	0	categorical	0.0	classification
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001	ok	GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.csv	1600	1600	21	20	2	True	True	2.14	1600	1	19	0	categorical	0.0	classification
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001	ok	GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.csv	1600	1600	21	20	2	True	True	2.13	1600	1	19	0	categorical	0.0	classification
Hill_Valley_with_noise	ok	Hill_Valley_with_noise.csv	1212	1212	101	100	2	True	True	2.58	1212	0	0	100	categorical	0.0	classification
Hill_Valley_without_noise	ok	Hill_Valley_without_noise.csv	1212	1212	101	100	2	True	True	2.89	1212	0	0	100	categorical	9.802960494069226e-05	classification
agaricus_lepiota	ok	agaricus_lepiota.csv	8145	8145	23	22	2	True	True	2.2	8145	5	16	1	categorical	0.0014579364729441	classification
allbp	ok	allbp.csv	3772	3772	30	29	3	True	True	2.28	3772	19	4	6	categorical	0.8755228428707819	classification
allhyper	ok	allhyper.csv	3771	3771	30	29	4	True	True	2.25	3771	19	4	6	categorical	0.9301422508626844	classification
allhypo	ok	allhypo.csv	3770	3770	30	29	3	True	True	2.07	3770	19	4	6	categorical	0.7837656635873043	classification
allrep	ok	allrep.csv	3772	3772	30	29	4	True	True	2.05	3772	19	4	6	categorical	0.9142744795514716	classification
analcatdata_aids	ok	analcatdata_aids.csv	50	50	5	4	2	True	True	2.4	50	0	2	2	categorical	0.0	classification
analcatdata_asbestos	ok	analcatdata_asbestos.csv	83	83	4	3	2	True	True	2.41	83	1	1	1	categorical	0.0117578748729859	classification
analcatdata_authorship	ok	analcatdata_authorship.csv	841	841	71	70	4	True	True	2.16	841	0	3	67	categorical	0.0833968394457082	classification
analcatdata_bankruptcy	ok	analcatdata_bankruptcy.csv	50	50	7	6	2	True	True	2.02	50	0	0	6	categorical	0.0	classification
analcatdata_boxing1	ok	analcatdata_boxing1.csv	120	120	4	3	2	True	True	2.08	120	1	1	1	categorical	0.09	classification
analcatdata_boxing2	ok	analcatdata_boxing2.csv	132	132	4	3	2	True	True	2.23	132	1	0	2	categorical	0.0057392102846648	classification
analcatdata_creditscore	ok	analcatdata_creditscore.csv	100	100	7	6	2	True	True	1.99	100	2	1	3	categorical	0.2115999999999999	classification
analcatdata_cyyoung8092	ok	analcatdata_cyyoung8092.csv	97	97	11	10	2	True	True	1.9	97	2	0	8	categorical	0.2551812094802848	classification
analcatdata_cyyoung9302	ok	analcatdata_cyyoung9302.csv	92	92	11	10	2	True	True	1.98	92	2	1	7	categorical	0.3445179584120982	classification
analcatdata_dmft	ok	analcatdata_dmft.csv	797	797	5	4	6	True	True	2.04	797	1	3	0	categorical	0.0013428651042412	classification
analcatdata_fraud	ok	analcatdata_fraud.csv	42	42	12	11	2	True	True	1.98	42	10	1	0	categorical	0.1451247165532879	classification
analcatdata_germangss	ok	analcatdata_germangss.csv	400	400	6	5	4	True	True	2.11	400	2	2	1	categorical	0.0	classification
analcatdata_happiness	ok	analcatdata_happiness.csv	60	60	4	3	3	True	True	1.92	60	0	2	1	categorical	0.0	classification
analcatdata_japansolvent	ok	analcatdata_japansolvent.csv	52	52	10	9	2	True	True	2.26	52	0	0	9	categorical	0.0014792899408284	classification
analcatdata_lawsuit	ok	analcatdata_lawsuit.csv	264	264	5	4	2	True	True	1.92	264	1	0	3	categorical	0.7328397612488521	classification
ann_thyroid	ok	ann_thyroid.csv	7200	7200	22	21	3	True	True	2.07	7200	15	0	6	categorical	0.7904668981481481	classification
appendicitis	ok	appendicitis.csv	106	106	8	7	2	True	True	2.04	106	0	0	7	categorical	0.3645425418298327	classification
backache	ok	backache.csv	180	180	33	32	2	True	True	2.24	180	22	4	6	categorical	0.521604938271605	classification
balance_scale	ok	balance_scale.csv	625	625	5	4	3	True	True	2.1	625	0	4	0	categorical	0.14622976	classification
biomed	ok	biomed.csv	209	209	9	8	2	True	True	2.08	209	0	1	7	categorical	0.079691399006433	classification
breast_cancer	ok	breast_cancer.csv	286	286	10	9	2	True	True	2.15	286	2	6	1	categorical	0.1645068218494792	classification
bupa	ok	bupa.csv	345	345	6	5	2	True	True	2.02	345	0	0	5	categorical	0.0004116782188615	classification
calendarDOW	ok	calendarDOW.csv	399	399	33	32	5	True	True	2.17	399	2	18	12	categorical	0.0140294344884768	classification
car_evaluation	ok	car_evaluation.csv	1728	1728	7	6	4	True	True	2.21	1728	0	6	0	categorical	0.3902883159007773	classification
cars	ok	cars.csv	392	392	9	8	3	True	True	2.2	392	0	1	7	categorical	0.1919968242399	classification
chess	ok	chess.csv	3196	3196	37	36	2	True	True	2.14	3196	35	1	0	categorical	0.0019740727223171	classification
churn	ok	churn.csv	5000	5000	21	20	2	True	True	2.84	5000	2	2	16	categorical	0.5143758400000001	classification
clean1	ok	clean1.csv	476	476	169	168	2	True	True	2.38	476	0	0	168	categorical	0.016965609773321	classification
clean2	ok	clean2.csv	6598	6598	169	168	2	True	True	4.66	6598	0	0	168	categorical	0.478483150625434	classification
cloud	ok	cloud.csv	108	108	8	7	4	True	True	2.44	108	1	0	6	categorical	0.0050297210791037	classification
coil2000	ok	coil2000.csv	9822	9822	86	85	2	True	True	3.76	9822	5	79	1	categorical	0.7755902757953309	classification
collins	ok	collins.csv	485	485	24	23	13	True	True	2.19	485	0	1	22	categorical	0.0219810819428207	classification
confidence	ok	confidence.csv	72	72	4	3	6	True	True	2.17	72	0	0	3	categorical	0.0	classification
corral	ok	corral.csv	160	160	7	6	2	True	True	2.21	160	6	0	0	categorical	0.015625	classification
dermatology	ok	dermatology.csv	366	366	35	34	6	True	True	2.49	366	1	32	1	categorical	0.0414583893218668	classification
dis	ok	dis.csv	3772	3772	30	29	2	True	True	2.34	3772	19	4	6	categorical	0.9394399094067016	classification
dna	ok	dna.csv	3186	3186	181	180	3	True	True	2.42	3186	180	0	0	categorical	0.0776847980158012	classification
ecoli	ok	ecoli.csv	327	327	8	7	5	True	True	2.18	327	0	0	7	categorical	0.1089648271282813	classification
flags	ok	flags.csv	178	178	44	43	5	True	True	2.49	178	36	5	2	categorical	0.04391806590077	classification
glass2	ok	glass2.csv	163	163	10	9	2	True	True	2.3	163	0	0	9	categorical	0.0045541796830893	classification
haberman	ok	haberman.csv	306	306	4	3	2	True	True	2.15	306	0	0	3	categorical	0.2214532871972319	classification
hayes_roth	ok	hayes_roth.csv	160	160	5	4	3	True	True	2.45	160	0	4	0	categorical	0.0438671874999999	classification
hepatitis	ok	hepatitis.csv	155	155	20	19	2	True	True	2.13	155	3	10	6	categorical	0.3446826222684704	classification
hypothyroid	ok	hypothyroid.csv	3163	3163	26	25	2	True	True	2.18	3163	17	1	7	categorical	0.8181582834802777	classification
ionosphere	ok	ionosphere.csv	351	351	35	34	2	True	True	3.26	351	1	1	32	categorical	0.0795529257067718	classification
iris	ok	iris.csv	150	150	5	4	3	True	True	2.29	150	0	0	4	categorical	0.0	classification
irish	ok	irish.csv	500	500	6	5	2	True	True	2.08	500	1	1	3	categorical	0.012544	classification
kr_vs_kp	ok	kr_vs_kp.csv	3196	3196	37	36	2	True	True	2.09	3196	35	1	0	categorical	0.0019740727223171	classification
labor	ok	labor.csv	57	57	17	16	2	True	True	2.26	57	0	13	3	categorical	0.0889504462911665	classification
led24	ok	led24.csv	3200	3200	25	24	10	True	True	2.3	3200	24	0	0	categorical	0.0001885850694444	classification
led7	ok	led7.csv	3200	3200	8	7	10	True	True	2.13	3200	7	0	0	categorical	0.0004364149305555	classification
letter	ok	letter.csv	20000	20000	17	16	26	True	True	2.5	20000	0	0	16	categorical	3.490919999999997e-05	classification
lupus	ok	lupus.csv	87	87	4	3	2	True	True	7.13	87	0	0	3	categorical	0.0381820583960893	classification
lymphography	ok	lymphography.csv	148	148	19	18	4	True	True	2.38	148	9	9	0	categorical	0.2937667397126856	classification
magic	ok	magic.csv	19020	19020	11	10	2	True	True	3.65	19020	0	0	10	categorical	0.0880547898553849	classification
mfeat_factors	ok	mfeat_factors.csv	2000	2000	217	216	10	True	True	4.93	2000	0	0	216	categorical	0.0	classification
mfeat_fourier	ok	mfeat_fourier.csv	2000	2000	77	76	10	True	True	3.37	2000	0	0	76	categorical	0.0	classification
mfeat_karhunen	ok	mfeat_karhunen.csv	2000	2000	65	64	10	True	True	3.29	2000	0	0	64	categorical	0.0	classification
mfeat_morphological	ok	mfeat_morphological.csv	2000	2000	7	6	10	True	True	2.28	2000	0	3	3	categorical	0.0	classification
mfeat_pixel	ok	mfeat_pixel.csv	2000	2000	241	240	10	True	True	2.33	2000	0	240	0	categorical	0.0	classification
mfeat_zernike	ok	mfeat_zernike.csv	2000	2000	48	47	10	True	True	2.9	2000	0	0	47	categorical	0.0	classification
mofn_3_7_10	ok	mofn_3_7_10.csv	1324	1324	11	10	2	True	True	2.55	1324	10	0	0	categorical	0.3123830560144576	classification
molecular_biology_promoters	ok	molecular_biology_promoters.csv	106	106	58	57	2	True	True	2.37	106	0	57	0	categorical	0.0	classification
monk1	ok	monk1.csv	556	556	7	6	2	True	True	2.14	556	2	4	0	categorical	0.0	classification
monk2	ok	monk2.csv	601	601	7	6	2	True	True	2.46	601	2	4	0	categorical	0.0988950750413204	classification
monk3	ok	monk3.csv	554	554	7	6	2	True	True	2.22	554	2	4	0	categorical	0.0015769787173037	classification
movement_libras	ok	movement_libras.csv	360	360	91	90	15	True	True	2.47	360	0	0	90	categorical	0.0	classification
mushroom	ok	mushroom.csv	8124	8124	23	22	2	True	True	2.61	8124	5	16	1	categorical	0.0012918910021209	classification
mux6	ok	mux6.csv	128	128	7	6	2	True	True	2.39	128	6	0	0	categorical	0.0	classification
new_thyroid	ok	new_thyroid.csv	215	215	6	5	3	True	True	2.57	215	0	0	5	categorical	0.2990805840995132	classification
nursery	ok	nursery.csv	12958	12958	9	8	4	True	True	2.41	12958	1	7	0	categorical	0.0900899366400157	classification
optdigits	ok	optdigits.csv	5620	5620	65	64	10	True	True	2.8	5620	3	10	51	categorical	1.4704868366802722e-05	classification
page_blocks	ok	page_blocks.csv	5473	5473	11	10	5	True	True	2.37	5473	0	0	10	categorical	0.7627104291422278	classification
parity5	ok	parity5.csv	32	32	6	5	2	True	True	2.12	32	5	0	0	categorical	0.0	classification
parity5+5	ok	parity5_5.csv	1124	1124	11	10	2	True	True	2.45	1124	10	0	0	categorical	7.915299958207264e-05	classification
pendigits	ok	pendigits.csv	10992	10992	17	16	10	True	True	2.63	10992	0	0	16	categorical	0.0001780697519917	classification
penguins	ok	penguins.csv	333	333	8	7	3	True	True	2.38	344	1	2	4	categorical	0.0463764196863169	classification
phoneme	ok	phoneme.csv	5404	5404	6	5	2	True	True	2.47	5404	0	0	5	categorical	0.1705916225117124	classification
postoperative_patient_data	ok	postoperative_patient_data.csv	88	88	9	8	2	True	True	2.63	88	2	6	0	categorical	0.2066115702479339	classification
prnn_crabs	ok	prnn_crabs.csv	200	200	8	7	2	True	True	2.44	200	1	0	6	categorical	0.0	classification
prnn_synth	ok	prnn_synth.csv	250	250	3	2	2	True	True	2.15	250	0	0	2	categorical	0.0	classification
profb	ok	profb.csv	672	672	10	9	2	True	True	3.18	672	1	2	6	categorical	0.1111111111111111	classification
ring	ok	ring.csv	7400	7400	21	20	2	True	True	3.26	7400	0	0	20	categorical	9.46676406135857e-05	classification
saheart	ok	saheart.csv	462	462	10	9	2	True	True	2.54	462	1	0	8	categorical	0.0944697438203931	classification
satimage	ok	satimage.csv	6435	6435	37	36	6	True	True	2.47	6435	0	0	36	categorical	0.0276087321122286	classification
schizo	ok	schizo.csv	340	340	15	14	3	True	True	2.23	340	2	0	12	categorical	0.1478546712802768	classification
segmentation	ok	segmentation.csv	2310	2310	20	19	7	True	True	2.64	2310	0	1	18	categorical	0.0	classification
sonar	ok	sonar.csv	208	208	61	60	2	True	True	2.2	208	0	0	60	categorical	0.0045303254437869	classification
soybean	ok	soybean.csv	675	675	36	35	18	True	True	2.32	675	1	34	0	categorical	0.0362678286129266	classification
spambase	ok	spambase.csv	4601	4601	58	57	2	True	True	2.76	4601	0	0	57	categorical	0.0449060406200498	classification
spect	ok	spect.csv	267	267	23	22	2	True	True	2.46	267	22	0	0	categorical	0.3457616182019667	classification
spectf	ok	spectf.csv	349	349	45	44	2	True	True	2.38	349	0	0	44	categorical	0.2075598722506383	classification
splice	ok	splice.csv	3188	3188	61	60	3	True	True	2.61	3188	0	60	0	categorical	0.0776763041770503	classification
tae	ok	tae.csv	151	151	6	5	3	True	True	2.37	151	2	0	3	categorical	0.0003070040787684	classification
texture	ok	texture.csv	5500	5500	41	40	11	True	True	5.03	5500	0	0	40	categorical	0.0	classification
threeOf9	ok	threeOf9.csv	512	512	10	9	2	True	True	2.38	512	9	0	0	categorical	0.00494384765625	classification
tic_tac_toe	ok	tic_tac_toe.csv	958	958	10	9	2	True	True	2.21	958	0	9	0	categorical	0.0941810748732789	classification
tokyo1	ok	tokyo1.csv	959	959	45	44	2	True	True	2.57	959	0	2	42	categorical	0.0775149209345414	classification
twonorm	ok	twonorm.csv	7400	7400	21	20	2	True	True	3.0	7400	0	0	20	categorical	6.57414170927761e-07	classification
vehicle	ok	vehicle.csv	846	846	19	18	4	True	True	2.48	846	0	0	18	categorical	0.0004266124179609	classification
vowel	ok	vowel.csv	990	990	14	13	11	True	True	2.35	990	2	0	11	categorical	0.0	classification
waveform_21	ok	waveform_21.csv	5000	5000	22	21	3	True	True	2.29	5000	0	0	21	categorical	8.043999999999987e-05	classification
waveform_40	ok	waveform_40.csv	5000	5000	41	40	3	True	True	2.61	5000	0	0	40	categorical	5.787999999999952e-05	classification
wine_quality_red	ok	wine_quality_red.csv	1599	1599	12	11	6	True	True	2.18	1599	0	0	11	categorical	0.2288041188970123	classification
wine_quality_white	ok	wine_quality_white.csv	4898	4898	12	11	7	True	True	2.41	4898	0	0	11	categorical	0.2119743377393727	classification
wine_recognition	ok	wine_recognition.csv	178	178	14	13	3	True	True	2.39	178	0	0	13	categorical	0.0125299835879308	classification
xd6	ok	xd6.csv	973	973	10	9	2	True	True	2.32	973	9	0	0	categorical	0.1143315563376636	classification
yeast	ok	yeast.csv	1479	1479	9	8	9	True	True	2.83	1479	0	0	8	categorical	0.1278178474299421	classification
